favourite_count, up_count, category, comment_count, following_count, favourites_count, followers_count, subscribe_count, videos_count, vv_count, Popularity_rank
0,0,12,0,2,1,1,1,26,347,1
0,0,14,0,0,0,0,0,5,168,2
0,0,8,0,0,0,0,0,5,252,2
0,1,21,0,0,0,0,0,2,197,2
0,30,22,11,17,1,3825,3825,34,129681,3
0,0,17,0,1,0,12,12,509,87122,1
0,0,10,0,3,11,1,1,11,1715,2
0,0,16,0,6,0,11,11,216,93816,2
0,5,20,5,63,21,5130,5130,2436,4337310,2
0,0,14,0,1,0,113,113,88,115888,1
0,9,18,0,4,0,1260,1260,200,164497,2
0,3,11,0,31,0,321,321,1038,1380644,2
0,0,20,0,0,0,0,0,2,10,1
0,0,20,0,9,0,92,92,146,604748,1
0,0,21,0,0,1,0,0,14,24877,1
0,0,5,0,0,0,70,70,816,69707,1
0,3,6,0,0,0,10,10,11,5946,2
0,0,13,0,0,0,0,0,17,178,1
0,2,12,2,367,8,769,769,165,855942,1
0,2,17,0,7,0,720,720,484,3051694,2
0,0,4,0,35,17,206,206,190,10403074,1
0,0,13,0,0,0,0,0,332,1296,1
0,0,12,0,0,5,1,1,111,2163,1
0,0,8,0,2,19,2,2,14,27846,1
0,0,21,0,0,0,0,0,11,681,1
0,0,6,0,0,0,0,0,2,9,1
0,0,9,0,0,0,0,0,6,21,1
0,0,22,0,0,0,29,29,116,14168,2
0,0,21,0,3,0,1,1,33,290,1
0,0,14,0,0,0,0,0,5,58,1
0,0,4,0,0,0,0,0,2,31,1
0,0,9,0,3,1,0,0,50,7008,1
0,0,12,0,13,5,0,0,10,466,1
0,0,4,0,2,2,1,1,10,2875,1
0,2,1,0,0,0,0,0,3,69,1
0,1,9,0,0,0,0,0,1,238,1
0,0,23,0,10,1,0,0,15,914,1
0,0,5,0,2,1,0,0,4,85,1
0,0,6,0,0,0,0,0,2,7,1
0,0,1,0,0,0,3,3,634,1451,1
